[2025-03-26 12:11:13,019] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 12:11:22,150] WARNING django.request: Not Found: /
[2025-03-26 12:11:22,158] WARNING django.server: "GET / HTTP/1.1" 404 2302
[2025-03-26 12:11:22,415] WARNING django.request: Not Found: /favicon.ico
[2025-03-26 12:11:22,417] WARNING django.server: "GET /favicon.ico HTTP/1.1" 404 2353
[2025-03-26 12:11:35,749] WARNING django.request: Not Found: /api/
[2025-03-26 12:11:35,751] WARNING django.server: "GET /api/ HTTP/1.1" 404 3270
[2025-03-26 12:13:12,951] WARNING django.request: Unauthorized: /api/create/
[2025-03-26 12:13:12,952] WARNING django.server: "GET /api/create/ HTTP/1.1" 401 3713
[2025-03-26 12:13:12,986] INFO django.server: "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
[2025-03-26 12:13:12,991] INFO django.server: "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
[2025-03-26 12:13:13,000] INFO django.server: "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
[2025-03-26 12:13:13,006] INFO django.server: "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
[2025-03-26 12:13:13,013] INFO django.server: "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
[2025-03-26 12:13:13,015] INFO django.server: "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
[2025-03-26 12:13:13,016] INFO django.server: "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
[2025-03-26 12:13:13,019] INFO django.server: "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
[2025-03-26 12:13:13,019] INFO django.server: "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
[2025-03-26 12:13:13,025] INFO django.server: "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
[2025-03-26 12:13:13,037] INFO django.server: "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
[2025-03-26 12:13:13,048] INFO django.server: "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
[2025-03-26 12:13:29,741] WARNING django.request: Not Found: /api/
